"# of Use","# käyttökertaa"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Tämä ryhmä sisältää ominaisuuksia, joita käytetään muokattavissa olevissa tuotteissa. Siirrä ominaisuudet toiseen ryhmään ja yritä uudelleen."
"This group contains system attributes. Please move system attributes to another group and try again.","Tämä ryhmä sisältää järjestelmän ominaisuuksia. Siirrä järjestelmän ominaisuudet toiseen ryhmään ja yritä uudelleen."
"This is a required option","Tämä on vaadittu tieto"
"This search no longer exists","Tätä hakua ei enää ole olemassa"
"Tier Pricing","Määräalennukset"
"Tile","Tile (palikka)"
"Time format","Ajan muoto"
"Title","Otsikko"
"Top/Left","Ylhäällä/vasemmalla"
"Top/Right","Ylhäällä/oikealla"
"Total Qty Base Items","Yhteensä Qty Base Items"
"Total incl. Tax: %1$s","Yhteensä sis. vero: %1$s"
"Total of %d record(s) were successfully deleted","Yhteensä %d tietuetta poistettu"
"Total of %d record(s) were successfully updated","Yhteensä %d tietuetta päivitetty"
"Type","Tyyppi"
"Unable to complete request. Please try again later.","Pyyntöä ei voida täyttää. Ole hyvä ja yritä uudestaan."
"Unable to find a search term to delete","Poistettavaa hakusanaa ei löydy"
"Unable to find an attribute to delete","Poistettavaa ominaisuutta ei löydy"
"Unable to get product id.","Tuotteen tunnistetta ei saada."
"Unassigned Attributes","Asettamattomat ominaisuudet"
"Unique Value","Yksilöllinen arvo"
"Unique Value (not shared with other products)","Yksilöllinen arvo (ei sama muiden tuotteiden kanssa)"
"Unknown attribute: %s","Tuntematon ominaisuus: %s"
"Up-sells","Myyjälle suosiolliset tuotteet"
"Update","Päivitä"
"Update Attributes","Päivitä ominaisuudet"
"Update Tier Price","Päivitä hintataso"
"Update assigned product","Päivitä liitetty tuote"
"Update attributes","Päivitä ominaisuudet"
"Update category","Päivitä kategoria"
"Update product","Päivitä tuote"
"Update product image","Päivitä tuotekuva"
"Update product link","Päivitä tuotelinkki"
"Update product tier prices","Päivitä tuotteen hintatasot"
"Upload new product image ","Lataa uusi tuotekuva"
"Url","Osoite"
"Url Rewrite Management","Osoitealiasten hallinnointi"
"Url rewrie save problem.","Url uudelleenkirjoituksen tallennusongelma"
"Use Config Settings","Käytä kokoonpanon asetuksia"
"Use Default Value","Käytä oletusarvoa"
"Use Flat Catalog Category","Käytä kategorioiden pakkausta"
"Use Flat Catalog Product","Käytä tuotteiden pakkausta"
"Use In Layered Navigation","Käytä kerroksittaisessa navigaatiossa"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Käytä kerroksittaisessa navigaatiossa<br/>(Voidaan käyttää vain katalogin syöttötyypin 'pudotus' kanssa)"
"Use In Search Results Layered Navigation","Käytä hakutulosten kerroksittaisessa navigaatiossa"
"Use JavaScript Calendar","Käytä JavaScript-kalenteria"
"Use To Create Configurable Product","Käytä luodaksesi muokattava tuote"
"Use Tree Like Category Sitemap","Käytä puumaista kategoriasivukarttaa"
"Use categories path for product URLs","Käytä kategoriapolkuja tuotteiden osoitteille"
"Use in advanced search","Käytä tarkemmassa haussa"
"Use in quick search","Käytä pikahaussa"
"Used for sorting in product listing","Käytetään tuotelistan järjestämiseen"
"Used in product listing","Käytetään tuotelistauksessa"
"Values Required","Vaaditut arvot"
"Varchar","Merkkijono"
"View as","Tarkastele"
"Virtual Product","Aineeton tuote"
"Visibility","Näkyvyys"
"Visible","Näkyvillä"
"Visible on Catalog Pages on Front-end","Näkyvillä katalogisivuilla kaupan asiakasnäkymässä"
"Visible on Product View Page on Front-end","Näytetään tuotesivulla asiakasnäkymässä"
"Watermark","Vesileima"
"Watermark Default Size","Vesileiman oletuskoko"
"Watermark Position","Vesileiman paikka"
"We Also Recommend","Suosittelemme myös"
"Web Site Item Must be checked","Sivuston tuote tulee olla valittu"
"Web Site Store Must be checked","Sivuston kauppa tulee olla valittu"
"Website","Sivusto"
"Websites","Sivusto"
"Wrong BuyRequest instance in options group","Virheellinen ostopyyntö valintaryhmässä"
"Wrong option instance type in options group","Wrong option instance type in options group"
"Wrong option type to get group instance.","Wrong option type to get group instance."
"Wrong product instance type in options group","Wrong product instance type in options group"
"Wrong quote item instance in options group","Wrong quote item instance in options group"
"Wrong quote item option instance in options group","Wrong quote item option instance in options group"
"Year Range","Vuodet aikavälillä"
"Yes","Kyllä"
"Yes/No","Kyllä/Ei"
"You cannot delete this attribute","Et voi poistaa tätä ominaisuutta"
"You cannot edit this attribute","Et voi muokata tätä ominaisuutta"
"You cannot remove system attribute from this set.","Et voi poistaa järjestelmän ominaisuutta tästä kokoelmasta."
"You cannot update this attribute","Et voi päivittää tätä ominaisuutta"
"You have no items to compare.","Tuotevertailussa ei ole tuotteita."
"You may also be interested in the following product(s)","Voisit mahdollisesti olla kiinnostunut seuraavista tuotteista"
"Zoom In","Katso lähemmin"
"Zoom Out","Loitonna"
"[GLOBAL]","[GLOBAALI]"
"and","ja"
"and above","tai enemmän"
"cache refresh needed","vaatii välimuistin tyhjentämisen"
"categories","kategoriat"
"comma separated","erottele pilkuilla"
"each","kukin"
"ex. http://domain.com","esim. http://domain.com"
"leave blank if its not an image","jätä tyhjäksi jos kyseessä ei ole kuva"
"must be in the allowed values list","tulee olla sallittujen arvojen listassa"
"per page","per sivu"
"products","tuotteet"
"px.","px."
"save","tallenna"
"select all","valitse kaikki"
"unselect all","poista kaikki valinnat"
"x","x"
"Description","Kuvaus"
"Short Description","Lyhyt kuvaus"
"Tax Class","Veroluokka"
"There are no products matching the selection.","Ei valintaa vastaavia tuotteita."
"Availability:","Saatavuus:"
"Qty:","Määrä:"
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
